time,target_firing,target_energy,total_firing,avg_energy
0,0,99.90,0,99.89999999999982
1,0,99.80,0,99.80199999999985
2,0,99.71,0,99.70596000000003
3,0,99.61,0,99.61184080000015
4,0,99.52,0,99.51960398400004
5,0,99.43,0,99.4292119043202
6,0,99.34,0,99.34062766623357
7,0,99.25,0,99.25381511290894
8,0,99.17,0,99.16873881065095
9,0,99.09,0,99.08536403443765
10,0,99.00,0,99.00365675374888
11,1,88.90,99,89.00385602239821
12,0,89.03,1,89.02356361867409
13,0,89.15,0,89.14309234630076
14,0,89.26,0,89.26023049937449
15,0,89.38,0,89.37502588938715
16,1,79.28,48,84.58554387173268
17,0,79.59,37,81.01601720593357
18,0,79.90,6,80.68321638275592
19,0,80.20,0,80.96955205510065
20,0,80.50,0,81.25016101399885
21,1,70.40,48,76.53793416021908
22,0,70.89,37,73.0635904971237
23,0,71.37,6,72.87916219753636
24,0,71.84,0,73.32157895358567
25,0,72.31,0,73.75514737451391
26,1,62.21,48,69.11419616357038
27,0,62.86,38,65.6257633380827
28,0,63.51,6,65.5802443694362
29,0,64.14,0,66.16863948204742
30,0,64.75,0,66.74526669240645
31,1,54.65,49,62.07016163426269
32,0,55.46,38,58.664862228072415
33,0,56.25,6,58.74947852659098
34,0,57.03,0,59.47448895605924
35,0,57.79,0,60.184999176938106
36,1,47.69,49,55.57240983903134
37,0,48.63,38,52.243801224382416
38,0,49.56,6,52.44846109892532
39,0,50.47,0,53.29949187694669
40,0,51.36,0,54.133502039407865
41,1,41.26,49,49.57858551655099
42,0,42.33,38,46.32072414528423
43,0,43.39,6,46.63611828928213
44,0,44.42,0,47.603395923496464
45,0,45.43,0,48.55132800502652
46,1,35.33,50,43.94800290593805
47,0,36.52,38,40.757437937353345
48,0,37.69,6,41.17697041573635
49,0,38.84,0,42.253431007421604
50,0,39.96,0,43.30836238727315
51,1,29.86,46,39.20220887824396
52,0,31.17,40,35.84118787484589
53,0,32.44,8,36.12932819649059
54,0,33.69,0,37.306741632560666
55,0,34.92,0,38.4606067999095
56,1,24.82,23,37.00342110827828
57,0,26.22,53,32.18082952125258
58,0,27.60,16,31.633112718612328
59,0,28.95,1,32.78769755945188
60,0,30.27,1,33.91978948822588
61,0,31.56,1,35.03474545366818
62,0,32.83,12,34.87245358161943
63,1,22.73,44,31.08071446443341
64,0,24.18,28,29.184498180569545
65,0,25.59,7,29.707888218273514
66,0,26.98,1,30.900822092827056
67,0,28.34,2,31.96233760253166
68,0,29.67,1,33.111643169080814
69,0,30.98,9,33.32271396371486
70,1,20.88,48,29.09040419120338
71,0,22.36,26,27.451051453908562
72,0,23.82,7,28.006393037366344
73,0,25.24,1,29.232926844077486
74,0,26.64,2,30.32632972397825
75,0,28.00,1,31.50775872892325
76,0,29.34,8,31.862569166298144
77,1,19.24,46,27.872844623883026
