time,neuron_a_priority,neuron_b_priority,avg_novelty,alert_level,avg_energy,total_firing
0,1.020,1.020,0.020,0.000,89.90,100
1,1.098,1.098,0.086,0.043,90.00,0
2,1.024,1.024,0.023,0.041,90.11,0
3,1.022,1.022,0.021,0.039,90.22,0
4,1.020,1.020,0.019,0.037,90.32,0
5,1.018,1.018,0.017,0.035,85.73,46
6,1.042,1.059,0.042,0.054,81.43,44
7,1.053,1.046,0.045,0.074,81.32,4
8,1.028,1.020,0.021,0.070,81.62,0
9,1.019,1.018,0.016,0.067,81.91,0
10,1.017,1.016,0.015,0.063,77.41,46
11,1.039,1.054,0.038,0.060,73.22,44
12,1.049,1.042,0.041,0.077,73.27,4
13,1.027,1.020,0.019,0.074,73.74,0
14,1.018,1.018,0.015,0.070,74.10,1
15,1.016,1.016,0.014,0.066,69.80,45
16,1.037,1.052,0.035,0.063,65.59,45
17,1.046,1.040,0.039,0.060,65.69,5
18,1.026,1.019,0.018,0.057,66.32,0
19,1.018,1.017,0.015,0.054,66.82,1
20,1.016,1.015,0.013,0.051,62.60,45
21,1.036,1.050,0.033,0.049,58.47,45
22,1.045,1.039,0.037,0.046,58.70,5
23,1.026,1.019,0.018,0.044,59.46,0
24,1.017,1.017,0.014,0.042,60.10,1
25,1.016,1.015,0.013,0.040,55.95,45
26,1.035,1.049,0.033,0.038,51.88,45
27,1.044,1.038,0.036,0.036,52.24,5
28,1.025,1.019,0.018,0.034,53.12,0
29,1.017,1.017,0.014,0.032,53.88,1
30,1.016,1.015,0.013,0.031,49.80,45
31,1.035,1.048,0.032,0.029,45.79,45
32,1.043,1.038,0.036,0.028,46.26,5
33,1.025,1.018,0.018,0.026,47.16,1
34,1.017,1.017,0.015,0.025,48.04,1
35,1.016,1.015,0.013,0.024,44.01,45
36,1.035,1.048,0.032,0.023,40.07,45
37,1.043,1.038,0.036,0.021,40.64,5
38,1.025,1.018,0.018,0.020,41.64,1
39,1.017,1.017,0.014,0.019,42.62,1
40,1.016,1.015,0.013,0.018,38.65,45
41,1.034,1.048,0.032,0.017,34.77,45
42,1.043,1.038,0.035,0.017,35.43,5
43,1.025,1.018,0.018,0.016,36.54,1
44,1.017,1.017,0.014,0.015,37.62,1
45,1.015,1.015,0.013,0.014,34.94,34
46,1.021,1.048,0.027,0.014,30.41,51
47,1.048,1.038,0.038,0.013,30.81,8
48,1.031,1.018,0.019,0.012,32.11,0
49,1.017,1.017,0.014,0.012,32.94,4
50,1.056,1.055,0.053,0.038,34.10,1
51,1.050,1.049,0.048,0.060,35.36,0
52,1.045,1.044,0.042,0.078,36.63,0
53,1.040,1.040,0.038,0.074,37.89,0
54,1.036,1.036,0.034,0.070,39.12,0
55,1.033,1.032,0.031,0.067,40.22,1
56,1.030,1.029,0.029,0.064,41.39,0
57,1.027,1.026,0.025,0.060,42.53,0
58,1.024,1.024,0.023,0.057,43.65,0
59,1.022,1.021,0.020,0.054,44.74,0
60,1.019,1.019,0.018,0.052,45.69,1
61,1.017,1.017,0.017,0.049,46.73,0
62,1.016,1.015,0.015,0.047,47.75,0
63,1.014,1.014,0.013,0.044,48.74,0
