time,target_firing,target_energy,total_firing,avg_energy,alert_level
0,1,89.90,100,89.90,0.000
1,0,90.00,0,90.00,0.000
2,0,90.10,0,90.10,0.000
3,0,90.20,0,90.20,0.000
4,0,90.30,0,90.30,0.000
5,0,90.39,36,86.72,0.000
6,1,80.29,42,82.61,0.000
7,0,80.58,16,81.22,0.000
8,0,80.87,1,81.40,0.000
9,0,81.16,0,81.67,0.000
10,0,81.43,36,78.20,0.000
11,1,71.33,42,74.18,0.000
12,0,71.81,16,72.94,0.000
13,0,72.27,1,73.28,0.000
14,0,72.72,0,73.71,0.000
15,0,73.17,36,70.34,0.000
16,1,63.07,42,66.41,0.000
17,0,63.71,16,65.30,0.000
18,0,64.33,1,65.78,0.000
19,0,64.95,0,66.37,0.000
20,0,65.55,36,63.09,0.000
21,1,55.45,42,59.24,0.000
22,0,56.24,16,58.25,0.000
23,0,57.01,1,58.88,0.000
24,0,57.77,0,59.60,0.000
25,0,58.52,36,56.41,0.000
26,1,48.42,42,52.63,0.000
27,0,49.35,16,51.74,0.000
28,0,50.26,1,52.50,0.000
29,0,51.16,0,53.35,0.000
30,0,52.03,36,50.24,0.000
31,1,41.93,42,46.53,0.000
32,0,43.00,16,45.75,0.000
33,0,44.04,1,46.62,0.000
34,0,45.06,0,47.59,0.000
35,0,46.05,36,44.55,0.000
36,1,35.95,42,40.91,0.000
37,0,37.14,16,40.21,0.000
38,0,38.29,1,41.20,0.000
39,0,39.43,0,42.28,0.000
40,0,40.54,36,39.30,0.000
41,1,30.44,42,35.72,0.000
42,0,31.73,16,35.11,0.000
43,0,32.99,1,36.20,0.000
44,0,34.23,0,37.37,0.000
45,0,35.45,20,36.27,0.000
46,1,25.35,51,31.69,0.000
47,0,26.74,23,30.36,0.000
48,0,28.11,1,31.54,0.000
49,0,29.45,0,32.81,0.000
50,0,32.10,0,35.33,0.950
51,0,34.58,20,35.18,0.902
52,1,24.48,56,30.53,0.857
53,0,27.12,18,30.78,0.815
54,0,29.61,2,32.89,0.774
55,0,31.95,1,35.00,0.735
56,0,34.16,19,34.77,0.698
57,1,24.06,56,30.02,0.663
58,0,26.44,19,29.94,0.630
59,0,28.69,2,31.83,0.599
60,0,30.83,0,33.87,0.569
61,0,32.86,0,35.81,0.540
62,0,34.79,0,37.65,0.513
63,0,36.63,0,39.41,0.488
64,0,38.39,0,41.08,0.463
65,0,40.06,0,42.68,0.440
66,0,41.66,0,44.20,0.418
67,0,43.19,0,45.66,0.397
68,0,44.66,0,47.06,0.377
69,0,46.06,0,48.40,0.358
70,0,47.41,0,49.68,0.341
71,0,48.70,0,50.91,0.324
72,0,49.94,0,52.10,0.307
73,0,51.13,0,53.24,0.292
74,0,52.28,0,54.33,0.277
75,0,53.39,0,55.38,0.264
76,0,54.45,0,56.40,0.250
77,0,55.48,0,57.38,0.238
78,0,56.47,0,58.32,0.226
79,0,57.43,0,59.24,0.215
80,0,58.35,0,60.12,0.204
81,0,59.25,0,60.97,0.194
82,0,60.11,0,61.79,0.184
83,0,60.95,0,62.59,0.175
84,0,61.76,0,63.36,0.166
85,0,62.55,0,64.11,0.158
86,0,63.31,0,64.84,0.150
87,0,64.05,0,65.54,0.142
88,0,64.76,0,66.22,0.135
89,0,65.46,0,66.89,0.129
90,0,66.13,0,67.53,0.122
91,0,66.79,0,68.15,0.116
92,0,67.43,0,68.76,0.110
93,0,68.05,0,69.35,0.105
94,0,68.65,0,69.93,0.099
95,0,69.23,0,70.48,0.094
96,0,69.81,0,71.03,0.090
97,0,70.36,0,71.56,0.085
98,0,70.90,0,72.07,0.081
99,0,71.43,0,72.57,0.077
100,0,71.94,0,73.06,0.073
101,0,72.44,0,73.54,0.069
102,0,72.93,0,74.00,0.066
103,0,73.40,0,74.45,0.063
104,0,73.87,0,74.90,0.060
105,0,74.32,0,75.33,0.057
106,0,74.76,0,75.75,0.054
107,0,75.19,0,76.16,0.051
108,0,75.61,0,76.56,0.048
109,0,76.02,0,76.95,0.046
110,0,76.42,0,77.33,0.044
111,0,76.81,0,77.70,0.042
112,0,77.20,0,78.06,0.039
113,0,77.57,0,78.42,0.038
114,0,77.93,0,78.77,0.036
115,0,78.29,0,79.10,0.034
116,0,78.64,0,79.44,0.032
117,0,78.98,0,79.76,0.031
118,0,79.31,0,80.08,0.029
119,0,79.64,0,80.39,0.028
120,0,79.95,0,80.69,0.026
121,0,80.27,0,80.98,0.025
122,0,80.57,0,81.27,0.024
123,0,80.87,0,81.56,0.022
124,0,81.16,0,81.83,0.021
125,0,81.44,0,82.10,0.020
126,0,81.72,0,82.37,0.019
127,0,81.99,0,82.63,0.018
128,0,82.26,0,82.88,0.017
129,0,82.52,0,83.13,0.017
130,0,82.77,0,83.37,0.016
131,0,83.02,0,83.61,0.015
132,0,83.27,0,83.84,0.014
133,0,83.51,0,84.07,0.013
134,0,83.74,0,84.29,0.013
135,0,83.97,0,84.51,0.012
136,0,84.20,0,84.72,0.012
137,0,84.41,0,84.93,0.011
138,0,84.63,0,85.14,0.010
139,0,84.84,0,85.34,0.010
140,0,85.05,0,85.53,0.009
141,0,85.25,0,85.73,0.009
142,0,85.45,0,85.91,0.008
143,0,85.64,0,86.10,0.008
144,0,85.83,0,86.28,0.008
145,0,86.01,0,86.45,0.007
146,0,86.20,0,86.63,0.007
147,0,86.37,0,86.80,0.007
148,0,86.55,0,86.96,0.006
149,0,86.72,0,87.12,0.006
